ID,hypermutator,signature2_13,TP53
LUAD-YINHD,1,58.97298065,yes
LUAD-S01315,1,36.03857063,yes
LUAD-S01345,1,12.05,yes
LUAD_E00522,1,11.3689597,yes
LUAD_E00565,1,9.367430851,yes
LUAD-LIP77,1,5.963896851,yes
LUAD-LC15C,1,5.577250338,yes
LUAD-E00918,0,5.46,yes
LUAD-VUMN6,0,5.381266595,no
LUAD-S01409,0,5.24,yes
LUAD-5V8LT,0,5.17,yes
LUAD-F00368,0,4.567723537,yes
LUAD-F00282,0,4.490921502,yes
LUAD-S01478,0,4.44,yes
LUAD-S01405,0,4.4,yes
LUAD-B00915,0,4.006348296,no
LUAD-B01811,0,3.846034718,yes
LUAD-B01970,0,3.550669052,yes
LUAD-F00057,0,3.457538789,yes
LUAD-D02185,0,3.449251605,yes
LUAD-S01306,0,3.413166085,yes
LUAD-S01304,0,3.17,yes
LUAD-F00162,0,3.106473475,yes
LUAD_E00623,0,2.969454611,yes
LUAD-S01346,0,2.81,yes
LUAD-B00416,0,2.661697593,yes
LUAD-E01317,0,2.61,yes
LUAD-S01341,0,2.57,no
LUAD-NYU847,0,2.500184839,yes
LUAD-S01302,0,2.48,yes
LUAD-D01603,0,2.4,no
LUAD-QJN9L,0,2.3,yes
LUAD-E00443,0,2.268084235,yes
LUAD-F00365,0,2.266796665,yes
LUAD-E00934,0,2.25,yes
LUAD-D01278,0,2.14,yes
LUAD-F00257,0,2.105521697,yes
LUAD-NYU1021,0,1.981519692,yes
LUAD-S00484,0,1.971437763,yes
LUAD-B02515,0,1.9,no
LUAD-F00089,0,1.875687099,no
LUAD-E01278,0,1.85,no
LUAD-74TBW,0,1.830296822,no
LUAD-F00134,0,1.7,no
LUAD-UF7HM,0,1.67,no
LUAD-S01467,0,1.67,yes
LUAD-E01014,0,1.61,yes
LUAD_E01147,0,1.6,yes
LUAD-B02594,0,1.6,yes
LUAD-QY22Z,0,1.57,yes
LUAD-S01356,0,1.48,yes
LUAD-YKER9,0,1.43,yes
LUAD-S00486,0,1.345559802,no
LUAD-S00488,0,1.33,no
LUAD-F00018,0,1.306714411,yes
LUAD-D02085,0,1.294395379,yes
LUAD-B00523,0,1.240181455,yes
LUAD-2GUGK,0,1.1,no
LUAD-S01362,0,1.07,no
LUAD-B00859,0,0.976001478,no
LUAD-S01413,0,0.957314798,yes
LUAD-B02077,0,0.898061786,yes
LUAD-S01331,0,0.87,yes
LUAD-B01145,0,0.860091267,no
LUAD_E01419,0,0.83,yes
LUAD_E01166,0,0.83,yes
LUAD-S01381,0,0.83,no
LUAD-S01373,0,0.76,no
LUAD-NYU704,0,0.76,yes
LUAD-NYU739,0,0.73,no
LUAD-S01354,0,0.73,yes
LUAD-NYU1142,0,0.73,no
LUAD-FH5PJ,0,0.73,no
LUAD-F00121,0,0.727935362,no
LUAD-AEIUF,0,0.72,no
LUAD-5O6B5,0,0.7,yes
LUAD-D01751,0,0.688886272,yes
LUAD-U6SJ7,0,0.68,no
LUAD-S01482,0,0.67,no
LUAD-S01404,0,0.64,no
LUAD-D00147,0,0.6,no
LUAD-NYU330,0,0.57,no
LUAD_E01086,0,0.5,no
LUAD-D02326,0,0.5,no
LUAD-NYU575,0,0.5,no
LUAD_E01319,0,0.47,no
LUAD-B02477,0,0.418129057,no
LUAD-E00163,0,0.4,yes
LUAD-B01102,0,0.3,yes
LUAD-NYU803,0,0.3,no
LUAD-NYU1177,0,0.26,no
LUAD_E00703,0,0,no
LUAD_E00945,0,0,no
LUAD-GU4I3,0,0,no
LUAD-NYU1027,0,0,no
LUAD-NYU213,0,0,no
LUAD-NYU263,0,0,no
LUAD-NYU689,0,0,no
LUAD-NYU796,0,0,no
LUAD-NYU848,0,0,no
LUAD-NYU994,0,0,no
LUAD-S00499,0,0,no
LUAD-S01320,0,0,no
LUAD-B00390,,,no
LUAD-B00631,,,yes
LUAD-B01024,,,yes
LUAD-B01246,,,yes
LUAD-B02050,,,yes
LUAD-CHTN-3090346,,,no
LUAD-CHTN-3090415,,,no
LUAD-CHTN-3090416,,,yes
LUAD-CHTN-4090680,,,yes
LUAD-CHTN-MAD04-00674,,,yes
LUAD-CHTN-MAD06-00490,,,no
LUAD-CHTN-MAD06-00678,,,yes
LUAD-CHTN-MAD08-00104,,,no
LUAD-CHTN-Z4716A,,,no
LUAD-E01047,,,yes
LUAD-E01217,,,no
LUAD-E01563,,,no
LUAD-NYU1124,,,no
LUAD-NYU1128,,,no
LUAD-NYU129,,,no
LUAD-NYU279,,,no
LUAD-NYU592,,,no
LUAD-NYU605,,,no
LUAD-NYU776,,,yes
LUAD-RS5Q7,,,no
LUAD-RT-S01301,,,yes
LUAD-RT-S01477,,,yes
LUAD-RT-S01699,,,yes
LUAD-RT-S01700,,,yes
LUAD-RT-S01702,,,no
LUAD-RT-S01703,,,no
LUAD-RT-S01707,,,yes
LUAD-RT-S01709,,,yes
LUAD-RT-S01711,,,no
LUAD-RT-S01721,,,no
LUAD-RT-S01769,,,yes
LUAD-RT-S01770,,,yes
LUAD-RT-S01771,,,no
LUAD-RT-S01774,,,yes
LUAD-RT-S01777,,,yes
LUAD-RT-S01808,,,yes
LUAD-RT-S01810,,,yes
LUAD-RT-S01813,,,yes
LUAD-RT-S01818,,,yes
LUAD-RT-S01831,,,yes
LUAD-RT-S01832,,,no
LUAD-RT-S01840,,,no
LUAD-RT-S01852,,,no
LUAD-RT-S01856,,,no
LUAD-RT-S01866,,,no
LUAD-S01407,,,yes
LUAD-S01468,,,yes
LUAD-S01473,,,yes
LUAD-S01474,,,no
LUAD-TJW61,,,yes
LUAD-TLLGS,,,yes