tcga_id,TP53status,hypermutator,signature2_13
TCGA-55-6968,TP53_Mutant,1,18.27295511
TCGA-95-7947,TP53_Mutant,1,12.89605893
TCGA-05-4382,TP53_Mutant,1,11.77257809
TCGA-05-4410,TP53_Mutant,1,9.707015682
TCGA-78-7155,TP53_Mutant,1,7.697529764
TCGA-55-7570,TP53_Mutant,0,5.97493956
TCGA-05-4402,TP53_Mutant,0,5.84
TCGA-69-7765,TP53_Mutant,0,4.985904291
TCGA-95-7039,TP53_Mutant,0,4.87725546
TCGA-62-8394,TP53_Mutant,0,4.07
TCGA-50-5935,TP53_WT,0,3.6
TCGA-78-7147,TP53_Mutant,0,3.54
TCGA-55-6979,TP53_Mutant,0,3.421615896
TCGA-78-7158,TP53_WT,0,2.895007687
TCGA-55-8506,TP53_Mutant,0,2.667365222
TCGA-38-4629,TP53_Mutant,0,2.629719091
TCGA-50-6595,TP53_Mutant,0,2.4
TCGA-50-5066,TP53_Mutant,0,2.27
TCGA-38-4628,TP53_WT,0,2.108545166
TCGA-86-A4P7,TP53_Mutant,0,2.07
TCGA-44-6147,TP53_Mutant,0,1.989839705
TCGA-64-1681,TP53_Mutant,0,1.97
TCGA-91-6835,TP53_WT,0,1.73
TCGA-75-6207,TP53_Mutant,0,1.7
TCGA-MP-A4T6,TP53_WT,0,1.6
TCGA-49-4490,TP53_Mutant,0,1.53
TCGA-93-A4JP,TP53_Mutant,0,1.5
TCGA-97-8177,TP53_WT,0,1.44
TCGA-J2-8192,TP53_WT,0,1.37
TCGA-86-8671,TP53_WT,0,1.36
TCGA-97-8547,TP53_Mutant,0,1.33
TCGA-91-6847,TP53_Mutant,0,1.33
TCGA-49-4501,TP53_WT,0,1.3
TCGA-49-4494,TP53_WT,0,1.118374578
TCGA-55-8096,TP53_Mutant,0,1.101644409
TCGA-05-5423,TP53_Mutant,0,1.094949283
TCGA-44-2661,TP53_WT,0,1.03
TCGA-50-5944,TP53_Mutant,0,1
TCGA-38-6178,TP53_Mutant,0,1
TCGA-50-6673,TP53_Mutant,0,0.96
TCGA-67-6217,TP53_WT,0,0.93
TCGA-MP-A4SW,TP53_WT,0,0.9
TCGA-55-7573,TP53_Mutant,0,0.83
TCGA-97-A4M7,TP53_WT,0,0.790850508
TCGA-O1-A52J,TP53_Mutant,0,0.708517416
TCGA-86-8074,TP53_Mutant,0,0.67
TCGA-97-A4M1,TP53_Mutant,0,0.67
TCGA-55-6981,TP53_WT,0,0.66
TCGA-62-8402,TP53_Mutant,0,0.64
TCGA-75-7025,TP53_WT,0,0.63
TCGA-71-6725,TP53_WT,0,0.63
TCGA-67-3770,TP53_Mutant,0,0.611620776
TCGA-97-8172,TP53_Mutant,0,0.609820022
TCGA-MP-A4T9,TP53_Mutant,0,0.6
TCGA-69-7760,TP53_Mutant,0,0.57
TCGA-50-6591,TP53_Mutant,0,0.57
TCGA-44-A4SU,TP53_Mutant,0,0.564521305
TCGA-62-A46U,TP53_Mutant,0,0.56
TCGA-55-8087,TP53_WT,0,0.56
TCGA-67-3772,TP53_WT,0,0.54
TCGA-55-8206,TP53_WT,0,0.5
TCGA-55-A48Z,TP53_Mutant,0,0.47
TCGA-86-8055,TP53_Mutant,0,0.47
TCGA-86-8668,TP53_WT,0,0.46
TCGA-86-8075,TP53_Mutant,0,0.43
TCGA-91-8496,TP53_WT,0,0.36
TCGA-97-A4M6,TP53_WT,0,0.33
TCGA-97-8552,TP53_WT,0,0.33
TCGA-86-8280,TP53_Mutant,0,0.3
TCGA-62-8397,TP53_WT,0,0
TCGA-97-8171,TP53_WT,0,0
TCGA-75-6212,TP53_WT,0,0
TCGA-38-4627,TP53_WT,0,0
TCGA-44-5645,TP53_Mutant,0,0
TCGA-55-6980,TP53_WT,0,0
TCGA-55-A57B,TP53_Mutant,0,0
TCGA-L9-A50W,TP53_WT,0,0
TCGA-55-A4DF,TP53_Mutant,1,24.07538145
TCGA-55-8089,TP53_Mutant,1,20.23435261
TCGA-67-3771,TP53_Mutant,1,19.12775267
TCGA-93-8067,TP53_Mutant,1,18.89421162
TCGA-MN-A4N4,TP53_Mutant,1,18.77771929
TCGA-NJ-A4YP,TP53_WT,1,16.80733868
TCGA-78-7539,TP53_WT,1,13.98425206
TCGA-55-8208,TP53_Mutant,1,13.65291747
TCGA-49-6743,TP53_WT,1,13.33
TCGA-55-A48Y,TP53_WT,1,12.2
TCGA-62-8399,TP53_Mutant,1,11.67
TCGA-75-6214,TP53_Mutant,1,11.33490213
TCGA-55-7907,TP53_Mutant,1,10.97471667
TCGA-86-A4JF,TP53_Mutant,1,10.94458658
TCGA-91-6830,TP53_WT,1,10.84665261
TCGA-50-6590,TP53_Mutant,1,10.83999796
TCGA-69-7978,TP53_Mutant,1,10.61128729
TCGA-69-7980,TP53_Mutant,1,10.34381758
TCGA-78-7150,TP53_Mutant,1,10.34
TCGA-05-4397,TP53_Mutant,1,10.08449886
TCGA-86-6851,TP53_Mutant,1,9.988477619
TCGA-55-8205,TP53_Mutant,1,9.943528985
TCGA-99-8025,TP53_Mutant,1,9.90315641
TCGA-75-5126,TP53_WT,1,9.85690438
TCGA-64-5781,TP53_WT,1,9.828994586
TCGA-J2-A4AD,TP53_Mutant,1,9.53
TCGA-49-4486,TP53_WT,1,9.5
TCGA-86-8056,TP53_Mutant,1,9.1
TCGA-53-7624,TP53_Mutant,1,9.041395335
TCGA-95-7944,TP53_Mutant,1,9
TCGA-55-8092,TP53_Mutant,1,8.811486531
TCGA-44-7670,TP53_Mutant,1,8.495442062
TCGA-62-A46O,TP53_Mutant,1,8.354795654
TCGA-78-7156,TP53_WT,1,8.245251937
TCGA-50-5946,TP53_Mutant,1,8.143854005
TCGA-78-8640,TP53_Mutant,1,7.876209145
TCGA-05-4389,TP53_WT,1,7.868747161
TCGA-55-6982,TP53_WT,1,7.757744766
TCGA-86-8073,TP53_Mutant,1,7.608162264
TCGA-05-4424,TP53_Mutant,1,7.546562084
TCGA-78-7220,TP53_Mutant,0,7.412738046
TCGA-MP-A4TI,TP53_Mutant,0,7.3
TCGA-55-7574,TP53_Mutant,0,7.133314094
TCGA-55-6972,TP53_WT,0,7.112854686
TCGA-05-4398,TP53_Mutant,0,6.926625286
TCGA-91-6848,TP53_Mutant,0,6.877256141
TCGA-44-2662,TP53_Mutant,0,6.6
TCGA-55-A490,TP53_WT,0,6.594152309
TCGA-55-7995,TP53_Mutant,0,6.492907284
TCGA-49-6742,TP53_WT,0,6.477988347
TCGA-05-5428,TP53_Mutant,0,6.404760677
TCGA-78-7154,TP53_Mutant,0,6.3
TCGA-86-8585,TP53_Mutant,0,6.264502194
TCGA-49-4514,TP53_Mutant,0,6.10402687
TCGA-78-8662,TP53_Mutant,0,6.063250107
TCGA-55-8085,TP53_Mutant,0,6.003482933
TCGA-05-4427,TP53_Mutant,0,5.97
TCGA-55-1592,TP53_Mutant,0,5.94
TCGA-55-7994,TP53_Mutant,0,5.790066045
TCGA-44-3918,TP53_Mutant,0,5.742806566
TCGA-55-6712,TP53_Mutant,0,5.73
TCGA-78-7146,TP53_Mutant,0,5.625233046
TCGA-55-7727,TP53_Mutant,0,5.615610615
TCGA-55-5899,TP53_Mutant,0,5.57276235
TCGA-95-7948,TP53_WT,0,5.54
TCGA-69-7979,TP53_Mutant,0,5.49114707
TCGA-44-6777,TP53_Mutant,0,5.487427793
TCGA-78-7152,TP53_WT,0,5.46
TCGA-38-4625,TP53_Mutant,0,5.43618324
TCGA-97-A4M5,TP53_WT,0,5.37
TCGA-44-3398,TP53_WT,0,5.36280926
TCGA-05-4395,TP53_Mutant,0,5.36
TCGA-91-8499,TP53_Mutant,0,5.353544139
TCGA-64-1677,TP53_Mutant,0,5.328840112
TCGA-55-8204,TP53_Mutant,0,5.23
TCGA-44-3396,TP53_Mutant,0,5.11842829
TCGA-55-8511,TP53_Mutant,0,5.018062175
TCGA-55-6987,TP53_WT,0,4.997396793
TCGA-80-5607,TP53_WT,0,4.87
TCGA-91-6829,TP53_Mutant,0,4.76108465
TCGA-44-A47A,TP53_WT,0,4.753077892
TCGA-78-7149,TP53_Mutant,0,4.747574339
TCGA-50-5044,TP53_WT,0,4.742980919
TCGA-55-1594,TP53_Mutant,0,4.7
TCGA-44-7662,TP53_Mutant,0,4.548156257
TCGA-44-2668,TP53_Mutant,0,4.546364323
TCGA-83-5908,TP53_Mutant,0,4.531770853
TCGA-49-6745,TP53_WT,0,4.498492924
TCGA-49-4487,TP53_Mutant,0,4.496788441
TCGA-50-6592,TP53_Mutant,0,4.4
TCGA-55-A493,TP53_Mutant,0,4.37
TCGA-49-6761,TP53_WT,0,4.1
TCGA-44-A4SS,TP53_Mutant,0,4.093900438
TCGA-97-A4M0,TP53_Mutant,0,3.930336941
TCGA-86-8278,TP53_WT,0,3.87
TCGA-91-6840,TP53_Mutant,0,3.86
TCGA-55-7726,TP53_Mutant,0,3.86
TCGA-95-7043,TP53_Mutant,0,3.815071753
TCGA-50-5933,TP53_Mutant,0,3.725740672
TCGA-MP-A4TK,TP53_Mutant,0,3.672264662
TCGA-62-A471,TP53_Mutant,0,3.66
TCGA-05-5715,TP53_WT,0,3.64
TCGA-44-7661,TP53_Mutant,0,3.624465894
TCGA-50-5936,TP53_WT,0,3.6
TCGA-93-A4JQ,TP53_WT,0,3.6
TCGA-49-4507,TP53_WT,0,3.6
TCGA-38-4630,TP53_Mutant,0,3.56
TCGA-44-5644,TP53_Mutant,0,3.547563214
TCGA-86-8673,TP53_Mutant,0,3.538712983
TCGA-35-4122,TP53_Mutant,0,3.53
TCGA-64-1678,TP53_Mutant,0,3.518189859
TCGA-55-7281,TP53_WT,0,3.395630833
TCGA-97-8176,TP53_WT,0,3.37
TCGA-05-4432,TP53_Mutant,0,3.352417787
TCGA-55-7283,TP53_Mutant,0,3.35214487
TCGA-86-7711,TP53_Mutant,0,3.3
TCGA-44-7660,TP53_Mutant,0,3.27
TCGA-78-8660,TP53_Mutant,0,3.255894098
TCGA-50-6594,TP53_Mutant,0,3.165037625
TCGA-95-8494,TP53_Mutant,0,3.14
TCGA-69-8255,TP53_Mutant,0,3.13
TCGA-05-4250,TP53_WT,0,3.005901941
TCGA-38-4632,TP53_Mutant,0,3
TCGA-35-5375,TP53_Mutant,0,2.932893698
TCGA-86-7954,TP53_Mutant,0,2.9
TCGA-64-1679,TP53_Mutant,0,2.877408075
TCGA-86-7955,TP53_WT,0,2.873994017
TCGA-91-7771,TP53_WT,0,2.864442878
TCGA-97-7938,TP53_Mutant,0,2.860226881
TCGA-64-5778,TP53_Mutant,0,2.836220722
TCGA-MN-A4N5,TP53_Mutant,0,2.813931578
TCGA-86-8672,TP53_Mutant,0,2.807985055
TCGA-44-2657,TP53_WT,0,2.793652949
TCGA-55-8301,TP53_Mutant,0,2.767425989
TCGA-86-8281,TP53_WT,0,2.750902916
TCGA-86-8358,TP53_Mutant,0,2.705346087
TCGA-44-3919,TP53_WT,0,2.7
TCGA-97-7547,TP53_WT,0,2.677226994
TCGA-50-5941,TP53_Mutant,0,2.602780699
TCGA-75-5125,TP53_Mutant,0,2.6
TCGA-55-8614,TP53_Mutant,0,2.6
TCGA-55-7724,TP53_Mutant,0,2.53
TCGA-55-8507,TP53_Mutant,0,2.469570503
TCGA-50-5049,TP53_Mutant,0,2.443791689
TCGA-95-A4VN,TP53_WT,0,2.44160952
TCGA-35-3615,TP53_WT,0,2.43
TCGA-86-8674,TP53_WT,0,2.429791917
TCGA-55-7913,TP53_Mutant,0,2.422938636
TCGA-86-A456,TP53_WT,0,2.409333915
TCGA-NJ-A4YG,TP53_WT,0,2.406363664
TCGA-38-7271,TP53_WT,0,2.37
TCGA-75-5122,TP53_WT,0,2.359558356
TCGA-78-7542,TP53_Mutant,0,2.335936763
TCGA-44-5643,TP53_Mutant,0,2.303666646
TCGA-69-A59K,TP53_Mutant,0,2.300567977
TCGA-53-A4EZ,TP53_Mutant,0,2.285034847
TCGA-44-8117,TP53_Mutant,0,2.249443308
TCGA-69-7974,TP53_Mutant,0,2.214958728
TCGA-44-4112,TP53_WT,0,2.212917587
TCGA-91-6828,TP53_WT,0,2.168470023
TCGA-78-7153,TP53_WT,0,2.13
TCGA-55-6969,TP53_Mutant,0,2.1
TCGA-05-4405,TP53_Mutant,0,2.092587897
TCGA-55-7576,TP53_Mutant,0,2.088628239
TCGA-53-7626,TP53_Mutant,0,2.086874406
TCGA-49-6767,TP53_Mutant,0,2.079028218
TCGA-MN-A4N1,TP53_Mutant,0,2.076666837
TCGA-MP-A4TA,TP53_Mutant,0,2.073625301
TCGA-05-4249,TP53_WT,0,2.041283267
TCGA-73-7499,TP53_Mutant,0,2.03
TCGA-55-A48X,TP53_Mutant,0,2.001097005
TCGA-49-4488,TP53_Mutant,0,2
TCGA-78-7167,TP53_WT,0,2
TCGA-99-8032,TP53_WT,0,1.992232207
TCGA-55-8510,TP53_Mutant,0,1.953082306
TCGA-55-A491,TP53_Mutant,0,1.939275488
TCGA-69-8253,TP53_WT,0,1.924823533
TCGA-44-8120,TP53_Mutant,0,1.917270145
TCGA-MP-A4T4,TP53_Mutant,0,1.896549175
TCGA-50-5931,TP53_Mutant,0,1.892220914
TCGA-97-7937,TP53_Mutant,0,1.89174378
TCGA-NJ-A4YI,TP53_WT,0,1.856600336
TCGA-91-A4BC,TP53_Mutant,0,1.831093128
TCGA-99-7458,TP53_Mutant,0,1.818801306
TCGA-73-4666,TP53_Mutant,0,1.8
TCGA-73-4670,TP53_Mutant,0,1.8
TCGA-95-8039,TP53_Mutant,0,1.8
TCGA-44-A47F,TP53_WT,0,1.8
TCGA-55-8299,TP53_Mutant,0,1.792105707
TCGA-38-4631,TP53_WT,0,1.775032476
TCGA-44-2656,TP53_Mutant,0,1.758699927
TCGA-62-A46R,TP53_Mutant,0,1.754827432
TCGA-97-7554,TP53_Mutant,0,1.745676688
TCGA-NJ-A4YF,TP53_Mutant,0,1.740498205
TCGA-44-8119,TP53_WT,0,1.734065725
TCGA-50-5939,TP53_Mutant,0,1.73
TCGA-64-1680,TP53_WT,0,1.73
TCGA-MP-A4TF,TP53_Mutant,0,1.728486759
TCGA-55-7903,TP53_Mutant,0,1.69931497
TCGA-NJ-A4YQ,TP53_WT,0,1.690611526
TCGA-L9-A444,TP53_Mutant,0,1.665184317
TCGA-55-8094,TP53_Mutant,0,1.66
TCGA-78-7536,TP53_Mutant,0,1.659094002
TCGA-44-A47G,TP53_Mutant,0,1.64
TCGA-55-7911,TP53_Mutant,0,1.63497853
TCGA-97-8174,TP53_WT,0,1.602028482
TCGA-MP-A4T2,TP53_WT,0,1.6
TCGA-86-6562,TP53_WT,0,1.6
TCGA-44-6144,TP53_Mutant,0,1.565052352
TCGA-91-6836,TP53_Mutant,0,1.55669459
TCGA-73-4662,TP53_WT,0,1.518927831
TCGA-55-7914,TP53_Mutant,0,1.511545214
TCGA-75-7031,TP53_Mutant,0,1.5
TCGA-05-4418,TP53_WT,0,1.5
TCGA-75-6211,TP53_Mutant,0,1.482440662
TCGA-97-A4M3,TP53_WT,0,1.48102437
TCGA-50-5930,TP53_Mutant,0,1.473161079
TCGA-50-5072,TP53_WT,0,1.46
TCGA-55-8620,TP53_Mutant,0,1.445652412
TCGA-MP-A4TC,TP53_Mutant,0,1.430829499
TCGA-44-7669,TP53_Mutant,0,1.43
TCGA-50-6597,TP53_WT,0,1.43
TCGA-55-8621,TP53_Mutant,0,1.43
TCGA-91-6831,TP53_Mutant,0,1.417903847
TCGA-55-A492,TP53_WT,0,1.410398093
TCGA-55-A4DG,TP53_Mutant,0,1.40610539
TCGA-64-1676,TP53_Mutant,0,1.397819348
TCGA-50-6593,TP53_Mutant,0,1.394212807
TCGA-44-6778,TP53_Mutant,0,1.378750382
TCGA-78-7162,TP53_WT,0,1.37
TCGA-64-5775,TP53_Mutant,0,1.349770065
TCGA-86-8076,TP53_WT,0,1.33
TCGA-62-8395,TP53_WT,0,1.33
TCGA-49-4505,TP53_Mutant,0,1.327081555
TCGA-38-4626,TP53_WT,0,1.304594229
TCGA-93-7347,TP53_WT,0,1.3
TCGA-78-7537,TP53_WT,0,1.3
TCGA-44-2659,TP53_Mutant,0,1.29247483
TCGA-86-8279,TP53_Mutant,0,1.288452443
TCGA-73-4677,TP53_WT,0,1.28691962
TCGA-97-7941,TP53_WT,0,1.27
TCGA-J2-A4AE,TP53_WT,0,1.27
TCGA-67-6216,TP53_WT,0,1.26
TCGA-44-7667,TP53_Mutant,0,1.253622487
TCGA-86-8054,TP53_WT,0,1.201674868
TCGA-78-7145,TP53_Mutant,0,1.173303668
TCGA-55-8616,TP53_Mutant,0,1.171619983
TCGA-05-4420,TP53_Mutant,0,1.165651887
TCGA-44-7671,TP53_WT,0,1.164498827
TCGA-55-8207,TP53_WT,0,1.150954632
TCGA-55-1595,TP53_WT,0,1.13913169
TCGA-67-4679,TP53_WT,0,1.134604205
TCGA-55-A494,TP53_WT,0,1.118495506
TCGA-93-A4JO,TP53_Mutant,0,1.1
TCGA-64-5779,TP53_WT,0,1.095205983
TCGA-L9-A443,TP53_WT,0,1.093807681
TCGA-35-4123,TP53_Mutant,0,1.089460593
TCGA-55-6970,TP53_WT,0,1.071007487
TCGA-80-5611,TP53_WT,0,1.07
TCGA-62-A46S,TP53_WT,0,1.07
TCGA-99-8033,TP53_Mutant,0,1.061941303
TCGA-93-7348,TP53_WT,0,1.06
TCGA-44-7659,TP53_WT,0,1.047622804
TCGA-05-4422,TP53_WT,0,1.03
TCGA-44-6775,TP53_Mutant,0,1.03
TCGA-55-8097,TP53_WT,0,1.03
TCGA-05-4430,TP53_Mutant,0,1.01917452
TCGA-55-8508,TP53_WT,0,1.008450169
TCGA-99-8028,TP53_Mutant,0,1.003355429
TCGA-93-A4JN,TP53_Mutant,0,1
TCGA-97-7546,TP53_WT,0,0.995695291
TCGA-78-7161,TP53_WT,0,0.971529949
TCGA-44-2665,TP53_WT,0,0.97
TCGA-55-6975,TP53_Mutant,0,0.96
TCGA-L4-A4E5,TP53_Mutant,0,0.958663898
TCGA-05-4390,TP53_WT,0,0.951272418
TCGA-73-4668,TP53_WT,0,0.945367636
TCGA-55-7227,TP53_Mutant,0,0.93
TCGA-75-6206,TP53_WT,0,0.93
TCGA-55-1596,TP53_Mutant,0,0.93
TCGA-78-7148,TP53_WT,0,0.901367567
TCGA-69-7764,TP53_WT,0,0.9
TCGA-75-5147,TP53_Mutant,0,0.9
TCGA-44-6779,TP53_Mutant,0,0.9
TCGA-86-7713,TP53_WT,0,0.9
TCGA-05-4244,TP53_WT,0,0.881233478
TCGA-50-5045,TP53_Mutant,0,0.87776253
TCGA-05-4384,TP53_Mutant,0,0.872131732
TCGA-73-4659,TP53_WT,0,0.87
TCGA-55-8514,TP53_Mutant,0,0.869526678
TCGA-44-6145,TP53_Mutant,0,0.86
TCGA-44-2655,TP53_WT,0,0.85618588
TCGA-95-A4VK,TP53_WT,0,0.852165141
TCGA-91-6849,TP53_WT,0,0.83
TCGA-78-7159,TP53_WT,0,0.826755876
TCGA-75-7027,TP53_WT,0,0.816088788
TCGA-44-7672,TP53_WT,0,0.812784681
TCGA-05-4403,TP53_WT,0,0.801918548
TCGA-69-7973,TP53_WT,0,0.800091013
TCGA-49-6744,TP53_WT,0,0.798199618
TCGA-J2-8194,TP53_WT,0,0.77
TCGA-62-A472,TP53_Mutant,0,0.77
TCGA-86-8359,TP53_WT,0,0.769142699
TCGA-NJ-A55R,TP53_WT,0,0.765817494
TCGA-75-5146,TP53_Mutant,0,0.754623284
TCGA-50-7109,TP53_WT,0,0.752657364
TCGA-55-7910,TP53_Mutant,0,0.746787575
TCGA-05-4434,TP53_WT,0,0.74
TCGA-62-A470,TP53_WT,0,0.74
TCGA-97-A4M2,TP53_WT,0,0.74
TCGA-55-6985,TP53_Mutant,0,0.702172161
TCGA-44-6774,TP53_Mutant,0,0.701070426
TCGA-NJ-A55A,TP53_WT,0,0.7
TCGA-55-6971,TP53_WT,0,0.7
TCGA-78-7166,TP53_WT,0,0.67
TCGA-J2-A4AG,TP53_WT,0,0.67
TCGA-78-8655,TP53_WT,0,0.67
TCGA-78-7160,TP53_WT,0,0.67
TCGA-55-8505,TP53_WT,0,0.66
TCGA-97-A4LX,TP53_Mutant,0,0.638501723
TCGA-86-8669,TP53_WT,0,0.63
TCGA-50-5068,TP53_Mutant,0,0.63
TCGA-95-7562,TP53_Mutant,0,0.620001046
TCGA-95-7567,TP53_Mutant,0,0.6
TCGA-78-7535,TP53_Mutant,0,0.6
TCGA-67-6215,TP53_WT,0,0.6
TCGA-49-4512,TP53_WT,0,0.6
TCGA-97-8179,TP53_Mutant,0,0.598341063
TCGA-05-4417,TP53_WT,0,0.578642413
TCGA-80-5608,TP53_WT,0,0.573126375
TCGA-MP-A4T8,TP53_WT,0,0.57
TCGA-97-8175,TP53_Mutant,0,0.57
TCGA-05-4415,TP53_Mutant,0,0.555054256
TCGA-55-6983,TP53_WT,0,0.53
TCGA-05-5420,TP53_WT,0,0.53
TCGA-44-2666,TP53_Mutant,0,0.53
TCGA-NJ-A55O,TP53_WT,0,0.525313596
TCGA-50-5051,TP53_WT,0,0.5
TCGA-55-8615,TP53_WT,0,0.5
TCGA-86-7953,TP53_Mutant,0,0.5
TCGA-50-8460,TP53_Mutant,0,0.5
TCGA-62-A46V,TP53_WT,0,0.5
TCGA-MP-A4TH,TP53_WT,0,0.5
TCGA-64-5815,TP53_WT,0,0.48810893
TCGA-44-6776,TP53_WT,0,0.481678696
TCGA-55-6642,TP53_WT,0,0.47
TCGA-78-7633,TP53_WT,0,0.47
TCGA-91-8497,TP53_WT,0,0.47
TCGA-49-4510,TP53_WT,0,0.46
TCGA-55-7725,TP53_WT,0,0.44
TCGA-50-8459,TP53_WT,0,0.44
TCGA-49-4506,TP53_WT,0,0.43
TCGA-55-8203,TP53_WT,0,0.427350196
TCGA-64-5774,TP53_WT,0,0.40923021
TCGA-05-4426,TP53_Mutant,0,0.4
TCGA-55-8512,TP53_WT,0,0.4
TCGA-MP-A5C7,TP53_WT,0,0.4
TCGA-86-7701,TP53_Mutant,0,0.385007973
TCGA-55-7815,TP53_WT,0,0.376188421
TCGA-MP-A4T7,TP53_WT,0,0.37
TCGA-97-7553,TP53_Mutant,0,0.37
TCGA-73-4676,TP53_Mutant,0,0.37
TCGA-75-6205,TP53_WT,0,0.37
TCGA-55-7284,TP53_WT,0,0.37
TCGA-55-7728,TP53_WT,0,0.36
TCGA-MP-A4TD,TP53_WT,0,0.36
TCGA-73-4675,TP53_WT,0,0.36
TCGA-50-8457,TP53_WT,0,0.34
TCGA-50-5055,TP53_WT,0,0.33
TCGA-73-7498,TP53_WT,0,0.33
TCGA-67-3773,TP53_WT,0,0.33
TCGA-44-6146,TP53_WT,0,0.33
TCGA-69-7763,TP53_WT,0,0.3
TCGA-05-5429,TP53_WT,0,0.3
TCGA-44-A47B,TP53_WT,0,0.3
TCGA-69-7761,TP53_WT,0,0.3
TCGA-62-A46P,TP53_WT,0,0.283513364
TCGA-86-7714,TP53_WT,0,0.27
TCGA-78-7540,TP53_Mutant,0,0.27
TCGA-MP-A4TE,TP53_WT,0,0.27
TCGA-67-3774,TP53_WT,0,0.27
TCGA-05-4396,TP53_Mutant,0,0
TCGA-53-7813,TP53_WT,0,0
TCGA-50-5932,TP53_WT,0,0
TCGA-50-5942,TP53_WT,0,0
TCGA-55-8090,TP53_WT,0,0
TCGA-69-8254,TP53_WT,0,0
TCGA-91-A4BD,TP53_WT,0,0
TCGA-95-A4VP,TP53_WT,0,0
TCGA-05-4433,TP53_Mutant,0,0
TCGA-55-6543,TP53_WT,0,0
TCGA-55-6986,TP53_WT,0,0
TCGA-55-6978,TP53_WT,0,0
TCGA-55-8091,TP53_WT,0,0
TCGA-97-7552,TP53_WT,0,0
TCGA-55-8619,TP53_Mutant,0,0
TCGA-62-A46Y,TP53_Mutant,0,0
TCGA-38-A44F,TP53_WT,0,0
TCGA-44-6148,TP53_WT,0,0
TCGA-75-7030,TP53_WT,0,0
TCGA-75-6203,TP53_WT,0,0
TCGA-78-7163,TP53_WT,0,0
TCGA-55-6984,TP53_WT,0,0
TCGA-78-8648,TP53_WT,0,0
TCGA-55-8513,TP53_WT,0,0
TCGA-86-A4P8,TP53_WT,0,0
TCGA-4B-A93V,TP53_Mutant,0,0
TCGA-L9-A8F4,TP53_Mutant,0,0
TCGA-49-AAQV,TP53_Mutant,0,0
TCGA-49-AARQ,TP53_Mutant,0,0
TCGA-L9-A5IP,TP53_Mutant,0,0
TCGA-49-AARN,TP53_Mutant,0,0
TCGA-L9-A7SV,TP53_Mutant,0,0
TCGA-49-AAR9,TP53_Mutant,0,0
TCGA-49-AAR3,TP53_Mutant,0,0
TCGA-73-A9RS,TP53_Mutant,0,0
TCGA-49-AAR4,TP53_Mutant,0,0
TCGA-49-AARE,TP53_Mutant,0,0
TCGA-49-AARR,TP53_WT,0,0
TCGA-NJ-A7XG,TP53_WT,0,0
TCGA-49-AARO,TP53_WT,0,0
TCGA-MP-A4TJ,TP53_WT,0,0
TCGA-S2-AA1A,TP53_WT,,
TCGA-99-AA5R,TP53_WT,,